Term	Instance	Annotation
rechten	Ombudsvrouw voor mensenrechten in Bolivia, Nadia Cruz, zei dat haar organisatie een aanklacht zal indienen tegen het medisch personeel in het ziekenhuis, de diaken van Santa Cruz en de moeder van het meisje voor een inbreuk op de zorgplicht en mensenhandel in verband met een verplichte zwangerschap.	neutral
rechten	Andere staten kijken gretig toe of ook zij de vrouwenrechten ongestraft kunnen inperken.	pro
rechten	“We hebben al vriendelijk om meer rechten en bescherming gevraagd en daar werd niet naar geluisterd”, zegt Samantha Maldado.	neutral
rechten	Ik ben geschokt dat ik nu in een staat woon waar vrouwenrechten verder achterlopen dan in andere delen van de wereld, inclusief	pro
rechten	Vooral in Yapacaní, het dorp waar het meisje woont, zijn mensenrechtenactivisten en aanhangers van de katholieke kerk aan de andere kant verwikkeld in een hevig debat, maar de zaak doet nationaal heel wat stof opwaaien.	neutral
rechten	In een tijd waarin rechten juist vaker ingeperkt worden is dit een stap in de goede richting.https://t.co/dik9zpbPOm — Rob Jetten (@RobJetten) September 27, 2021	neutral
rechten	“Dit is een historische stap voor de rechten van vrouwen”, zei rechter Luis Maria Aguilar na het besluit een abortuswet van een deelstaat onwettig te verklaren.	neutral
rechten	Het ontbrak destijds volgens de politiek aan „medische noodzaak”. — clo (@clokiiiii) October 6, 2021 Vrouwenrechten-organisatie Bureau Clara Wichmann en 7000 Nederlanders van burgerbeweging DeGoedeZaak spanden de rechtszaak aan.	neutral
rechten	De nieuwe abortuswet in Texas heeft tot felle kritiek geleid, onder meer van de Amerikaanse president Biden die spreekt over een ‘onmiskenbare schending’ van grondwettelijke rechten.	neutral
rechten	Joe Biden noemde de nieuwe wet een „onmiskenbare schending van grondwettelijke rechten”.	neutral
rechten	De wet is volgens Garland overduidelijk bedoeld „om te voorkomen dat vrouwen hun grondwettelijke rechten uitoefenen”.	neutral
rechten	De wet zorgt voor felle kritiek, onder meer van de Amerikaanse president Biden die spreekt over een ‘onmiskenbare schending’ van grondwettelijke rechten.	neutral
rechten	Eerder vandaag schreef Metro over de rechtszaak tussen vrouwenrechten-organisatie Bureau Clara Wichmann en burgerbeweging DeGoedeZaak tegen de Staat.	neutral
rechten	Die spreekt over“onmiskenbare schending” van grondwettelijke rechten.	neutral
rechten	„Dit is een schending van mensenrechten.	neutral
rechten	D66 blij is met deze overwinning voor vrouwenrechten, aangezien zij zelf het begrip ‘vrouw’ af willen schaffen en liever spreken van ‘personen met een baarmoeder‘.	neutral
rechten	Ze bekritiseerde haar geloofsgenoten op hun steun voor president Donald Trump en hun conservatieve standpunten rond vrouwen- en homorechten, racisme en abortus.	neutral
