Term	Instance	Annotation
abortus	Duizenden demonstranten zijn zaterdag in verschillende steden in de Verenigde Staten de straat opgegaan om te protesteren tegen de nieuwe abortuswet in Texas.	neutral
abortus	Texas de strenge anti-abortuswetgeving die daar eerder deze maand werd ingevoerd tijdelijk blokkeerde, heeft het Hof van Beroep dat besluit weer vernietigd.	neutral
abortus	In Mississippi dient een abortuszaak waarvan de uitspraak een precedentwerking kan hebben voor de rest van het land.	neutral
abortus	Ook kunnen mensen die vrouwen helpen bij het verkrijgen van een abortus worden aangeklaagd en lopen zij het risico op hoge geldboetes.	neutral
abortus	Het hof stemde woensdag tegen het noodverzoek van de organisaties, die claimen dat de wet ervoor zorgt dat abortus onmogelijk wordt voor zeker 85 procent van de Texaanse vrouwen die de procedure willen ondergaan.	neutral
abortus	Alan Braid schreef het afgelopen weekeinde een ingezonden stuk waarin hij toegaf de nieuwe strenge abortuswet te hebben overtreden.	neutral
abortus	Texas Ginsburgs gelijk met zijn draconische abortuswet.	neutral
abortus	Biden zei dat zijn regering zoekt naar mogelijkheden om Texaanse vrouwen toegang te geven tot veilige en legale abortus.	neutral
abortus	Het Amerikaanse ministerie van Justitie heeft donderdag een rechtszaak aangespannen tegen Texas, om de omstreden abortuswet die in de staat is ingevoerd van tafel krijgen.	neutral
abortus	De zaak, zo legde zij uit, had nooit mogen worden voorgesteld als een zaak van privacy of reproductieve keuze alleen: abortus was uiteindelijk een kwestie van gelijkheid van man en vrouw.	neutral
abortus	De vrouw zelf kan niet worden aangeklaagd, maar burgers kunnen iedereen die helpt bij zo’n abortus voor de rechter slepen.	neutral
abortus	Die wet in Texas over abortus, dat gaat spectaculair mislukken.	neutral
abortus	Green maakte ook bekend dat Lyft 1 miljoen dollar gaat doneren aan Planned Parenthood, een gezondheidsorganisatie die abortusklinieken runt.	neutral
abortus	“Mensen zijn bang”, zei de directeur van de Whole Woman’s Health’s woensdagnacht, vlak nadat haar kliniek de laatste legale abortussen had uitgevoerd.	neutral
abortus	Alleen in Mexico-Stad en in vier van de 31 deelstaten was abortus in de eerste twaalf weken van de zwangerschap toegestaan.	neutral
abortus	Uit Europees onderzoek blijkt dat jongeren voor het eerst conservatiever zijn over abortus dan hun ouders en ook richten organisaties, die tegen abortus zijn, zich de afgelopen jaren steeds vaker op jongeren door bijvoorbeeld gastlessen op scholen.	neutral
abortus	Ze bekritiseerde haar geloofsgenoten op hun steun voor president Donald Trump en hun conservatieve standpunten rond vrouwen- en homorechten, racisme en abortus.	neutral
abortus	In de Verenigde Staten zijn tienduizenden mensen de straat opgegaan om te demonstreren voor het recht op abortus.	neutral
abortus	NOS Stories stuitte ook op een animatie van een foetus die in de baarmoeder 'wegkruipt' voor abortus-instrumenten - een foutieve weergaven van de werkelijkheid vertellen deskundigen.	pro
abortus	Omdat abortus niet in het basispakket zit, is de gebruikelijke weg via de omslachtige vergoeding voor ongedocumenteerden immers ook afgesloten.	pro
