Term	Instance	Annotation
leven	Een uitspraak van het Hooggerechtshof uit 1973, Roe vs. Wade, beschermde het recht op abortus juist tot dit punt wanneer een foetus buiten de baarmoeder zou overleven.	neutral
leven	Hoewel een foetus in de Verenigde Staten doorgaans pas na 24 weken als levensvatbaar wordt gezien.	neutral
leven	En wanneer de zwangerschap levensbedreigend is voor de moeder.	neutral
leven	Als het Hooggerechtshof de wet overeind houdt, zal het de genderverhoudingen terugzetten naar een tijdperk van vóór de levende herinnering van de meeste Amerikanen.	neutral
leven	Alleen als het leven van de zwangere vrouw in gevaar is, is afbreken van de zwangerschap toegestaan.	neutral
leven	"Er zou een ""premiejagerssysteem"" kunnen ontstaan, dat volgens een advocaat zelfs een verkrachter zou kunnen toestaan een arts aan te klagen voor het bezorgen van een abortus aan een overlevende van seksueel geweld, en voor de verkrachter om een financiële beloning van 10.000 dollar op te strijken."	pro
leven	Ik denk dat ik vanwege dat onverwerkte verdriet onmiddellijk uit mijn dagelijkse leven ben gestapt toen bleek dat het ongeboren kind van mijn jongste zus een ziekte had.’	neutral
leven	Vanaf ongeveer de 24e zwangerschapsweek is de foetus levensvatbaar.	neutral
leven	‘In Polen is het zover gekomen dat zwangerschap een bedreiging vormt voor het leven van een vrouw’, zei een parlementslid van de linkse partij Lewica bij een herdenking voor Izabela in haar woonplaats Pszczyna.	neutral
leven	Het Hof buigt zich de komende maanden over een nieuwe wet in Mississippi die abortussen verbiedt na vijftien weken zwangerschap, bijna tien weken voordat een foetus levensvatbaar is.	neutral
leven	Voor onze politieke partijen met een christelijk fundament zijn levensvraagstukken, zoals abortus en levensbeëindiging, een integraal onderdeel van hun ontstaan en voortbestaan.	neutral
leven	Daarna is het alleen mogelijk als het leven van de moeder gevaar loopt of de foetus ernstig misvormd is.	neutral
