Term	Instance	Annotation
wet	In het stuk van VVD en CDA staat volgens betrokkenen onder andere dat de onderwijsvrijheid moet worden aangepast en dat de wet voor embryoselectie en abortus anders moet.	neutral
wet	De groep kreeg een tijdelijk verbod opgelegd om op basis van de nieuwe abortuswet medewerkers van Planned Parenthood in Texas aan te klagen.	neutral
wet	Die wet in Texas over abortus, dat gaat spectaculair mislukken.	pro
wet	Eerder verklaarde het Hooggerechtshof gelijkaardige wetten in de staten Louisiana en Georgia namelijk wel ongrondwettelijk.	neutral
wet	Rechtbanken hebben de wet niet verboden, waarop vrouwenorganisaties naar de hoogste rechter zijn gestapt om de inwerkingtreding van de wet tegen te houden.	neutral
wet	Volgens de nieuwe wet zijn ook de taxichauffeurs die vrouwen naar een abortuskliniek brengen strafbaar.	neutral
wet	Vicepresident Kamala Harris noemt de wet een „totale aanval op de gezondheid rond de zwangerschap”.	neutral
wet	Maar Texas heeft zijn wet anders geformuleerd.	neutral
wet	Maar doordat Texas burgers aanmoedigt tot aangifte, is de wet anders geformuleerd.	neutral
wet	De wet zorgt ervoor dat 85 procent van de abortussen in de staat illegaal wordt en maakt	neutral
wet	De nieuwe abortuswet in Texas heeft tot felle kritiek geleid, onder meer van de Amerikaanse president Joe Biden.	neutral
wet	Vrouwen zullen worden onderworpen aan een leven van kwetsbaarheid en angst tegenover iedere mogelijke eiser die bevoegd is om een rechtszaak aan te spannen – en volgens de wet is dat bijna iedereen.	pro
wet	De website, prolifewhistleblower.com, is een direct gevolg van de woensdag ingegane nieuwe abortuswet in Texas, volgens welke vrouwen na zes weken hun zwangerschap niet meer mogen beëindigen.	neutral
wet	De wet is bedoeld om vrouwen te veroordelen tot een inferieure positie in de samenleving.	pro
wet	Ook bevat de wet geen uitzonderingen bij verkrachting of incest.	pro
